Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,927.0,18.0,41.0,927.0,0.1,24.70700000000002,0.0,0.0,82.12329936027527,,,,,,,,,,,,,,,,,,,,,8.414704156081983,8.46446153032311,24.410794307421174,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,965.0,19.0,38.0,965.0,0.1,23.606000000000016,0.0,0.0,85.74465537071228,,,,,,,,,,,,,,,,,,,,,8.324308550614603,8.114680920829384,23.33632558993092,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1010.0,20.0,45.0,1010.0,0.1,24.90700000000002,0.0,0.0,89.95364284515381,,,,,,,,,,,,,,,,,,,,,7.991174591080423,8.337852506316567,24.596565678192086,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,50.0,1.0,50.0,1060.0,0.1,28.810000000000024,0.0,0.0,183.02421855926514,,,,,,,,,,,,,,,,,,,,,9.26938285681689,9.733591832374199,28.403309071994077,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,156.0,2.0,106.0,1166.0,0.1,53.00700000000003,0.0,0.0,192.7973518371582,,,,,,,,,,,,,,,,,,,,,18.97223363589543,14.16350070400323,51.098088313133026,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,208.0,3.0,52.0,1218.0,0.1,33.406,0.0,0.0,197.77229809761047,,,,,,,,,,,,,,,,,,,,,11.805945395072232,11.199879149503195,32.85777352874019,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,316.0,4.0,108.0,1326.0,0.1,76.30699999999999,0.0,0.0,207.5611207485199,,,,,,,,,,,,,,,,,,,,,33.60668737709124,23.41402801003043,72.82305104230775,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,421.0,5.0,105.0,1431.0,0.1,68.80600000000001,0.0,0.0,217.05597567558289,,,,,,,,,,,,,,,,,,,,,25.192438583423417,20.634777824257576,66.29331428399425,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,482.0,6.0,61.0,1492.0,0.1,45.10699999999999,0.0,0.0,222.94532108306885,,,,,,,,,,,,,,,,,,,,,17.62073145155497,14.925444440101785,44.12033192497318,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,572.0,7.0,90.0,1582.0,0.1,59.10699999999999,0.0,0.0,231.11229968070984,,,,,,,,,,,,,,,,,,,,,25.945448177756038,18.76436115478079,56.88562402643078,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
